cluster_id	cluster_size	cluster_avg_pmi	cluster_pmi_coverage	source_id	source_name	source_atc	dest_id	dest_name	dest_atc
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	1125315	acetaminophen	('N02BE01',)
1	503	5.1692802671869975	0.09728085669251424	917006	benzocaine	('C05AD03', 'D04AB04', 'N01BA05', 'R02AD01')	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	718583	nicotine	('N07BA01',)
1	503	5.1692802671869975	0.09728085669251424	1125315	acetaminophen	('N02BE01',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	739138	sertraline	('N06AB06',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	718583	nicotine	('N07BA01',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	19044883	zopiclone	('N05CF01',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	19020021	nitrazepam	('N05CD02',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1164108	salicylamide	('N02BA05',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	797617	citalopram	('N06AB04',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	797399	gabapentin	('N02BF01',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1103314	tramadol	('N02AX02',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	723013	diazepam	('N05BA01',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	744740	zolpidem	('N05CF02',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	1189596	dihydrocodeine	('N02AA08',)
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	1103314	tramadol	('N02AX02',)
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	19020021	nitrazepam	('N05CD02',)
1	503	5.1692802671869975	0.09728085669251424	1398937	clonidine	('C02AC01', 'N02CX02', 'S01EA04')	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	19020124	betahistine	('N07CA01',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	777221	hydroxyzine	('N05BB01',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	752061	prochlorperazine	('N05AB04',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	1164108	salicylamide	('N02BA05',)
1	503	5.1692802671869975	0.09728085669251424	710062	amitriptyline	('N06AA09',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1189596	dihydrocodeine	('N02AA08',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	755695	fluoxetine	('N06AB03',)	718583	nicotine	('N07BA01',)
1	503	5.1692802671869975	0.09728085669251424	19037989	dothiepin	('N06AA16',)	734354	pregabalin	('N02BF02',)
1	503	5.1692802671869975	0.09728085669251424	1103314	tramadol	('N02AX02',)	19020021	nitrazepam	('N05CD02',)
1	503	5.1692802671869975	0.09728085669251424	722031	paroxetine	('N06AB05',)	19020124	betahistine	('N07CA01',)
1	503	5.1692802671869975	0.09728085669251424	1398937	clonidine	('C02AC01', 'N02CX02', 'S01EA04')	19037989	dothiepin	('N06AA16',)
1	503	5.1692802671869975	0.09728085669251424	19037989	dothiepin	('N06AA16',)	1398937	clonidine	('C02AC01', 'N02CX02', 'S01EA04')
1	503	5.1692802671869975	0.09728085669251424	1112807	aspirin	('A01AD05', 'B01AC06', 'N02BA01')	19020021	nitrazepam	('N05CD02',)
1	503	5.1692802671869975	0.09728085669251424	19020124	betahistine	('N07CA01',)	739138	sertraline	('N06AB06',)
1	503	5.1692802671869975	0.09728085669251424	734354	pregabalin	('N02BF02',)	19037989	dothiepin	('N06AA16',)
1	503	5.1692802671869975	0.09728085669251424	923840	dibucaine	('C05AD04', 'D04AB02', 'N01BB06', 'S01HA06', 'S02DA04')	722031	paroxetine	('N06AB05',)
1	503	5.1692802671869975	0.09728085669251424	780442	varenicline	('N07BA03', 'S01XA28')	797617	citalopram	('N06AB04',)
1	503	5.1692802671869975	0.09728085669251424	19091830	lofepramine	('N06AA07',)	836715	temazepam	('N05CD07',)
1	503	5.1692802671869975	0.09728085669251424	19091830	lofepramine	('N06AA07',)	19037989	dothiepin	('N06AA16',)
1	503	5.1692802671869975	0.09728085669251424	19091830	lofepramine	('N06AA07',)	1153664	propoxyphene	('N02AC04',)
1	503	5.1692802671869975	0.09728085669251424	1153664	propoxyphene	('N02AC04',)	19091830	lofepramine	('N06AA07',)
1	503	5.1692802671869975	0.09728085669251424	1398937	clonidine	('C02AC01', 'N02CX02', 'S01EA04')	797399	gabapentin	('N02BF01',)
1	503	5.1692802671869975	0.09728085669251424	722031	paroxetine	('N06AB05',)	797399	gabapentin	('N02BF01',)
1	503	5.1692802671869975	0.09728085669251424	1398937	clonidine	('C02AC01', 'N02CX02', 'S01EA04')	722031	paroxetine	('N06AB05',)
1	503	5.1692802671869975	0.09728085669251424	739138	sertraline	('N06AB06',)	19020124	betahistine	('N07CA01',)
1	503	5.1692802671869975	0.09728085669251424	718583	nicotine	('N07BA01',)	722031	paroxetine	('N06AB05',)
1	503	5.1692802671869975	0.09728085669251424	19020021	nitrazepam	('N05CD02',)	836715	temazepam	('N05CD07',)
1	503	5.1692802671869975	0.09728085669251424	1398937	clonidine	('C02AC01', 'N02CX02', 'S01EA04')	1112807	aspirin	('A01AD05', 'B01AC06', 'N02BA01')
1	503	5.1692802671869975	0.09728085669251424	19020021	nitrazepam	('N05CD02',)	1189596	dihydrocodeine	('N02AA08',)
